City,State,Latitude,Longitude
Arlington,MA,42.417695,-71.167083
Belmont,MA,42.446396,-71.459405
"Boston
","MA
",42.370567,-71.026964
Braintree,MA,42.180048,-71.08923
Brookline,MA,42.308198,-71.088745
Cambridge,MA,42.380442,-71.132947
Charlestown,MA,42.382588,-71.065287
Chilmark,MA,41.34317,-70.74475
Cincinnati,OH,39.166759,-84.53822
Dorchester,MA,42.291413,-71.042158
East Falmouth,MA,41.57076,-70.55554
Framingham,MA,42.320169,-71.440409
Gloucester,MA,42.630011,-70.694179
Greenfield ,MA,42.601335,-72.623619
Hillsborough,NJ,40.497692,-74.670505
Holliston ,MA,42.2001,-71.4245
Loudon,NH,43.319339,-71.467006
Lowell,MA,42.656045,-71.303309
Mashpee,MA,41.64844,-70.48114
Melrose,MA,42.458995,-71.053095
Millis,MA,42.165249,-71.36126
Montague,MA,42.548107,-72.48693
Natick,MA,42.28343,-71.3495
Needham,MA,42.180048,-71.08923
Newton,MA,41.671776,-70.438637
Newton Highlands,MA,42.317362,-71.206508
Peabody,MA,42.536996,-70.973646
Phillipston,MA,42.548699,-72.132858
Rockport,ME,44.18452,-69.07615
Rockport,MA,42.657866,-70.618057
Roslindale,MA,42.284197,-71.120896
Roxbury,MA,42.325098,-71.095329
Rutland,VT,43.630346,-72.93586
Somerville,MA,42.38092,-71.098896
South Boston,MA,42.333431,-71.049495
Springfield,MA,42.170731,-72.604842
Sudbury,MA,42.38343,-71.41617
Suite 604,MA,42.15652,-71.489592
Sunderland,MA,42.46675,-72.5787
Waitsfield,VT,44.192186,-72.843868
Waltham,MA,42.388938,-71.2398
Warren,RI,41.727451,-71.257492
Wellesley,MA,42.300596,-71.27875
Wenham ,MA,42.597691,-70.8732
West Roxbury,MA,42.325098,-71.095329
Westwood,MA,42.220548,-71.199238
Woburn,MA,42.488595,-71.157271
Wrocester,MA,42.15652,-71.489592
Yarmouth Port,MA,41.71007,-70.22586
