Member Type,Name of Business or Organization,Product or Service,Industry,Address (Address),Address (Address2),Address (City),Address (State),Address (Zip),Address (Zip Fixed),Business Phone,Business/Organization Website,lat,lon
Business/Non-Profit,Land Escapes Design Inc.,Eco-friendly Landscape and Special Event Design,Service,11 Harvard Street,,Arlington,MA,2476,2476,(617) 504-9661,www.landescapesdesigninc.com,42.417695,-71.167083
Business/Non-Profit,Nit Wits LLC,Lice Removal,Service,161 Belmont Street,,Belmont,MA,,2478,(617) 816-9487,https://www.liceinfo.net/,42.446396,-71.459405
Business/Non-Profit,Costa Fruit and Produce,,Food,"18 Bunker Hill, Industrial Park",,Boston,MA,,2129,(617) 241-8007,http://www.freshideas.com/index2.html,42.370567,-71.026964
Business/Non-Profit,"Evergreen Delivery, LLC",Christmas tree delivery,Logistics,,,Boston,MA,,2210,(617) 285-0826,https://evergreendelivery.bike/,42.370567,-71.026964
Business/Non-Profit,Goody Clancy,Architecture and Design,"Service
",420Boylston Street,,Boston,MA,,2116,(617) 262-2760,https://www.goodyclancy.com/,42.370567,-71.026964
Business/Non-Profit,Green Energy Consumers Alliance,Clean energy education,Service,284 Armory Street,,Boston,MA,2130,2130,1-800-287-3950,https://www.greenenergyconsumers.org/,42.370567,-71.026964
Business/Non-Profit,Hosteling International,Hostels,Logistics,19 Stuart Street,,Boston,MA,2116,2116,(617) 536-9455,https://www.hiusa.org/hostels/massachusetts/boston/boston,42.370567,-71.026964
Business/Non-Profit,Iterum Foods,Restaurants,Food Service,,,Boston,MA,,2128,315-396-6313,https://noodlesbyiterum.com/,42.370567,-71.026964
Business/Non-Profit,Jennifer Lee's Gourmet Bakery,allergen free bakery,Food,100 Hanover Street,,Boston,MA,2110,2110,(978) 675-5116,https://www.jenniferleesshoppe.com/,42.370567,-71.026964
Business/Non-Profit,Kakosi,Chocolate,Food,230 W Broadway,,Boston,MA,,2127,,https://www.kakosichocolates.com/,42.370567,-71.026964
Business/Non-Profit,Kelley Chun & Associates,Consulting,Service,P.O. Box 190871,,Boston,MA,2119,2119,617-427-0046,http://www.kelleychunn.com/,42.370567,-71.026964
Business/Non-Profit,Koy,Korean Fusion Restaurant ,Food Service,16 North Street,,Boston,MA,2109,2109,(857) 991-1483,www.koyboston.com,42.370567,-71.026964
Business/Non-Profit,Levend Bakery,Bagels,Food,100 Hanover Street,,Boston,MA,,2108,,https://www.levendbagelry.com/,42.370567,-71.026964
Business/Non-Profit,Massachusetts Health Connector,Health Insurance,Finance,133 Portland St,,Boston,MA,2114,2114,(877) 623-6765,https://www.mahealthconnector.org/business,42.370567,-71.026964
Business/Non-Profit,Mei Mei,Restaurant,Food Service,506 Park Drive,,Boston,MA,,2215,(857) 250-4959,https://www.meimeiboston.com/,42.370567,-71.026964
Business/Non-Profit,"Morgan, Brown & Joy, LLP*",Legal ,Service,200 State Street,11th Floor,Boston,MA,2109,2109,(617) 523-6666,http://morganbrown.com/home/,42.370567,-71.026964
